The rightmost column contains computed values for __C
X	NoNoise	Noisy
0.000000	0.000000	27.033945	-106.716968
0.500000	5.022466	17.632851	-105.055146
1.000000	10.089728	32.331516	-103.379835
1.500000	15.201575	7.803099	-101.691097
2.000000	20.357788	-0.751059	-99.988999
2.500000	25.558140	32.278397	-98.273610
3.000000	30.802398	29.247561	-96.544998
3.500000	36.090318	34.707194	-94.803238
4.000000	41.421650	56.458225	-93.048405
4.500000	46.796136	56.766681	-91.280577
5.000000	52.213507	35.725980	-89.499834
5.500000	57.673486	35.908953	-87.706260
6.000000	63.175789	72.670392	-85.899941
6.500000	68.720121	59.425638	-84.080966
7.000000	74.306178	76.802043	-82.249425
7.500000	79.933647	80.873672	-80.405414
8.000000	85.602204	110.686108	-78.549030
8.500000	91.311518	58.319514	-76.680372
9.000000	97.061245	103.324028	-74.799544
9.500000	102.851033	94.239075	-72.906652
10.000000	108.680518	123.368797	-71.001806
10.500000	114.549327	103.697864	-69.085118
11.000000	120.457075	120.253548	-67.156704
11.500000	126.403367	126.795957	-65.216683
12.000000	132.387797	128.090195	-63.265177
12.500000	138.409948	131.646529	-61.302312
13.000000	144.469390	140.267591	-59.328217
13.500000	150.565684	133.060752	-57.343025
14.000000	156.698377	142.738691	-55.346871
14.500000	162.867005	139.375098	-53.339896
15.000000	169.071093	161.718697	-51.322242
15.500000	175.310152	133.743352	-49.294058
16.000000	181.583682	183.602264	-47.255493
16.500000	187.891169	179.417525	-45.206702
17.000000	194.232088	200.458501	-43.147843
17.500000	200.605900	168.513457	-41.079079
18.000000	207.012053	162.302743	-39.000576
18.500000	213.449982	208.753802	-36.912504
19.000000	219.919109	255.384350	-34.815038
19.500000	226.418841	236.970222	-32.708354
20.000000	232.948574	219.313518	-30.592637
20.500000	239.507687	242.202480	-28.468072
21.000000	246.095547	236.003911	-26.334850
21.500000	252.711506	259.253648	-24.193166
22.000000	259.354903	265.204103	-22.043220
22.500000	266.025061	281.438513	-19.885215
23.000000	272.721288	288.775881	-17.719359
23.500000	279.442879	290.561056	-15.545866
24.000000	286.189113	310.950064	-13.364951
24.500000	292.959254	269.689913	-11.176837
25.000000	299.752552	252.538489	-8.981750
25.500000	306.568239	338.571399	-6.779921
26.000000	313.405534	302.962894	-4.571584
26.500000	320.263640	329.378684	-2.356981
27.000000	327.141743	313.549881	-0.136355
27.500000	334.039015	321.702964	2.090042
28.000000	340.954610	357.615150	4.321958
28.500000	347.887668	350.861049	6.559132
29.000000	354.837311	355.561397	8.801301
29.500000	361.802646	385.537592	11.048195
30.000000	368.782763	387.561111	13.299541
30.500000	375.776735	427.991821	15.555059
31.000000	382.783619	393.708498	17.814465
31.500000	389.802456	385.340189	20.077471
32.000000	396.832268	426.853591	22.343781
32.500000	403.872063	413.304299	24.613098
33.000000	410.920829	424.359992	26.885117
33.500000	417.977540	431.506078	29.159528
34.000000	425.041151	452.108500	31.436017
34.500000	432.110599	427.261711	33.714264
35.000000	439.184806	445.552536	35.993943
35.500000	446.262675	446.705181	38.274726
36.000000	453.343092	491.314807	40.556276
36.500000	460.424927	437.368363	42.838253
37.000000	467.507030	445.155281	45.120310
37.500000	474.588235	513.065311	47.402097
38.000000	481.667359	474.323700	49.683258
38.500000	488.743200	493.300522	51.963429
39.000000	495.814539	454.680284	54.242246
39.500000	502.880141	481.114869	56.519334
40.000000	509.938750	536.620472	58.794317
40.500000	516.989096	525.602904	61.066811
41.000000	524.029889	564.851351	63.336429
41.500000	531.059823	527.831335	65.602776
42.000000	538.077573	512.833610	67.865454
42.500000	545.081798	548.487722	70.124060
43.000000	552.071138	519.691894	72.378183
43.500000	559.044217	545.117264	74.627409
44.000000	565.999640	542.068689	76.871319
44.500000	572.935997	600.442185	79.109487
45.000000	579.851860	590.378802	81.341483
45.500000	586.745781	616.525211	83.566871
46.000000	593.616298	560.261650	85.785212
46.500000	600.461932	577.063159	87.996060
47.000000	607.281187	583.194859	90.198964
47.500000	614.072547	604.480449	92.393468
48.000000	620.834485	616.040021	94.579111
48.500000	627.565452	631.867228	96.755428
49.000000	634.263886	623.651815	98.921948
49.500000	640.928208	615.120109	101.078196
50.000000	647.556822	635.824573	103.223690
50.500000	654.148118	621.515437	105.357947
51.000000	660.700468	631.920284	107.480475
51.500000	667.212230	658.403984	109.590781
52.000000	673.681747	648.457540	111.688366
52.500000	680.107344	703.663864	113.772724
53.000000	686.487336	686.279563	115.843349
53.500000	692.820018	674.579284	117.899727
54.000000	699.103675	704.038439	119.941342
54.500000	705.336575	736.482935	121.967671
55.000000	711.516973	734.233287	123.978191
55.500000	717.643110	757.876045	125.972370
56.000000	723.713215	723.885117	127.949676
56.500000	729.725502	690.552556	129.909571
57.000000	735.678173	735.956067	131.851513
57.500000	741.569419	769.796644	133.774958
58.000000	747.397417	712.588085	135.679356
58.500000	753.160332	778.246636	137.564155
59.000000	758.856320	754.839627	139.428800
59.500000	764.483523	759.051752	141.272731
60.000000	770.040074	749.020022	143.095387
60.500000	775.524097	739.586633	144.896201
61.000000	780.933703	784.009007	146.674605
61.500000	786.266997	769.015614	148.430029
62.000000	791.522072	788.182932	150.161898
62.500000	796.697014	835.203778	151.869636
63.000000	801.789901	774.511780	153.552664
63.500000	806.798803	803.820112	155.210401
64.000000	811.721784	844.834007	156.842263
64.500000	816.556898	781.775455	158.447666
65.000000	821.302198	829.106010	160.026022
65.500000	825.955726	799.152482	161.576743
66.000000	830.515524	778.654661	163.099237
66.500000	834.979626	844.420764	164.592914
67.000000	839.346064	857.717824	166.057180
67.500000	843.612865	852.311662	167.491441
68.000000	847.778054	813.198266	168.895104
68.500000	851.839655	846.321688	170.267572
69.000000	855.795689	928.025467	171.608250
69.500000	859.644177	867.667734	172.916541
70.000000	863.383139	848.971114	174.191851
70.500000	867.010597	850.252359	175.433581
71.000000	870.524572	847.111927	176.641138
71.500000	873.923087	867.186712	177.813926
72.000000	877.204171	913.496406	178.951350
72.500000	880.365851	847.209645	180.052817
73.000000	883.406162	876.333348	181.117735
73.500000	886.323142	862.227808	182.145514
74.000000	889.114834	870.193113	183.135564
74.500000	891.779290	915.079289	184.087297
75.000000	894.314565	826.264235	185.000130
75.500000	896.718725	904.378302	185.873479
76.000000	898.989844	919.475562	186.706764
76.500000	901.126005	895.013480	187.499408
77.000000	903.125301	919.236272	188.250837
77.500000	904.985837	903.350683	188.960479
78.000000	906.705730	870.096901	189.627769
78.500000	908.283110	956.210944	190.252142
79.000000	909.716120	873.344691	190.833040
79.500000	911.002919	884.054215	191.369909
80.000000	912.141680	950.526074	191.862197
80.500000	913.130595	906.027931	192.309361
81.000000	913.967872	929.036806	192.710861
81.500000	914.651738	940.917862	193.066163
82.000000	915.180438	965.218754	193.374739
82.500000	915.552240	925.717503	193.636066
83.000000	915.765432	892.206798	193.849630
83.500000	915.818324	904.173202	194.014922
84.000000	915.709252	881.870229	194.131439
84.500000	915.436573	912.895505	194.198689
85.000000	914.998672	892.134258	194.216184
85.500000	914.393960	895.628020	194.183445
86.000000	913.620875	888.756083	194.100003
86.500000	912.677886	914.742928	193.965396
87.000000	911.563487	889.644411	193.779172
87.500000	910.276209	928.256601	193.540886
88.000000	908.814610	923.553054	193.250106
88.500000	907.177284	865.647448	192.906408
89.000000	905.362858	964.997311	192.509378
89.500000	903.369994	889.918007	192.058614
90.000000	901.197392	911.829521	191.553723
90.500000	898.843787	915.690802	190.994326
91.000000	896.307955	951.335512	190.380053
91.500000	893.588711	860.267572	189.710547
92.000000	890.684911	899.425668	188.985465
92.500000	887.595453	892.767519	188.204474
93.000000	884.319278	874.071959	187.367255
93.500000	880.855373	868.245863	186.473503
94.000000	877.202767	847.161618	185.522926
94.500000	873.360540	867.585513	184.515248
95.000000	869.327818	915.744710	183.450203
95.500000	865.103775	940.166116	182.327545
96.000000	860.687638	834.183018	181.147040
96.500000	856.078682	820.528138	179.908469
97.000000	851.276238	801.149702	178.611632
97.500000	846.279689	865.959093	177.256342
98.000000	841.088472	873.445417	175.842431
98.500000	835.702083	808.494087	174.369745
99.000000	830.120072	822.932282	172.838150
99.500000	824.342049	800.144801	171.247528
100.000000	818.367684	770.699094	169.597781
100.500000	812.196707	818.462216	167.888826
101.000000	805.828911	809.604815	166.120600
101.500000	799.264149	783.285384	164.293061
102.000000	792.502341	805.995678	162.406184
102.500000	785.543472	791.965165	160.459965
103.000000	778.387593	782.774136	158.454417
103.500000	771.034821	754.551384	156.389578
104.000000	763.485343	763.211528	154.265503
104.500000	755.739415	785.161615	152.082270
105.000000	747.797366	732.450467	149.839976
105.500000	739.659592	762.054758	147.538743
106.000000	731.326567	713.003922	145.178712
106.500000	722.798835	712.939545	142.760047
107.000000	714.077016	702.092021	140.282935
107.500000	705.161807	800.432823	137.747586
108.000000	696.053981	734.572528	135.154233
108.500000	686.754388	716.834689	132.503130
109.000000	677.263956	727.175340	129.794560
109.500000	667.583697	660.417908	127.028824
110.000000	657.714698	746.220677	124.206252
110.500000	647.658130	641.974242	121.327196
111.000000	637.415246	595.885596	118.392033
111.500000	626.987384	588.046282	115.401166
112.000000	616.375962	636.693756	112.355022
112.500000	605.582485	636.029156	109.254054
113.000000	594.608544	599.667581	106.098741
113.500000	583.455814	581.830811	102.889588
114.000000	572.126059	601.193052	99.627126
114.500000	560.621129	583.337733	96.311912
115.000000	548.942962	514.482166	92.944530
115.500000	537.093587	537.631793	89.525591
116.000000	525.075119	602.025736	86.055731
116.500000	512.889766	477.621731	82.535615
117.000000	500.539823	536.150274	78.965936
117.500000	488.027679	455.931799	75.347411
118.000000	475.355812	472.291695	71.680787
118.500000	462.526792	453.886752	67.966839
119.000000	449.543282	452.889832	64.206368
119.500000	436.408036	437.543347	60.400203
120.000000	423.123901	440.037703	56.549202
120.500000	409.693817	416.072025	52.654250
121.000000	396.120817	358.405791	48.716261
121.500000	382.408026	392.214965	44.736175
122.000000	368.558662	372.251547	40.714962
122.500000	354.576038	334.204010	36.653619
123.000000	340.463559	306.619753	32.553172
123.500000	326.224722	381.863636	28.414673
124.000000	311.863119	363.420406	24.239205
124.500000	297.382434	288.925836	20.027877
125.000000	282.786444	258.289414	15.781826
125.500000	268.079016	295.578288	11.502216
126.000000	253.264112	257.325639	7.190242
126.500000	238.345784	279.358908	2.847123
127.000000	223.328177	177.352041	-1.525894
127.500000	208.215523	216.138321	-5.927532
128.000000	193.012149	231.781782	-10.356490
128.500000	177.722469	169.327803	-14.811438
129.000000	162.350985	172.072837	-19.291020
129.500000	146.902289	117.468616	-23.793854
130.000000	131.381059	154.177707	-28.318530
130.500000	115.792062	134.473055	-32.863614
131.000000	100.140148	85.263354	-37.427644
131.500000	84.430253	59.096361	-42.009135
132.000000	68.667396	67.729395	-46.606574
132.500000	52.856680	-2.754805	-51.218426
133.000000	37.003288	-16.984365	-55.843130
133.500000	21.112482	-27.731302	-60.479099
134.000000	5.189607	23.432987	-65.124727
134.500000	-10.759919	-8.828114	-69.778379
135.000000	-26.730598	23.131236	-74.438402
135.500000	-42.716862	-90.171602	-79.103118
136.000000	-58.713065	-31.732284	-83.770827
136.500000	-74.713493	-81.572959	-88.439809
137.000000	-90.712362	-25.793850	-93.108321
137.500000	-106.703818	-90.648536	-97.774600
138.000000	-122.681944	-79.281111	-102.436866
138.500000	-138.640756	-154.700922	-107.093315
139.000000	-154.574211	-99.450786	-111.742128
139.500000	-170.476202	-169.124894	-116.381467
140.000000	-186.340569	-204.346239	-121.009475
140.500000	-202.161092	-187.504586	-125.624280
141.000000	-217.931500	-265.764783	-130.223993
141.500000	-233.645470	-126.772179	-134.806711
142.000000	-249.296630	-259.201722	-139.370515
142.500000	-264.878564	-319.416093	-143.913471
143.000000	-280.384810	-370.865077	-148.433636
143.500000	-295.808866	-309.682848	-152.929049
144.000000	-311.144192	-253.670488	-157.397743
144.500000	-326.384213	-351.966129	-161.837736
145.000000	-341.522320	-383.998305	-166.247040
145.500000	-356.551876	-320.014460	-170.623654
146.000000	-371.466215	-353.817138	-174.965572
146.500000	-386.258651	-297.620749	-179.270781
147.000000	-400.922475	-461.259869	-183.537259
147.500000	-415.450960	-391.445295	-187.762982
148.000000	-429.837367	-427.059700	-191.945920
148.500000	-444.074946	-342.936947	-196.084039
149.000000	-458.156939	-548.385816	-200.175306
149.500000	-472.076585	-491.250546	-204.217684
150.000000	-485.827121	-402.698002	-208.209136
150.500000	-499.401790	-462.352541	-212.147628
151.000000	-512.793839	-545.715973	-216.031126
151.500000	-525.996528	-503.052215	-219.857601
152.000000	-539.003131	-510.512346	-223.625026
152.500000	-551.806940	-641.334194	-227.331382
153.000000	-564.401268	-578.951604	-230.974656
153.500000	-576.779456	-573.917563	-234.552841
154.000000	-588.934874	-599.926319	-238.063942
154.500000	-600.860926	-574.959646	-241.505972
155.000000	-612.551054	-521.432031	-244.876956
155.500000	-623.998744	-543.001744	-248.174933
156.000000	-635.197527	-604.401281	-251.397954
156.500000	-646.140986	-616.893563	-254.544087
157.000000	-656.822756	-643.136166	-257.611416
157.500000	-667.236536	-681.022027	-260.598043
158.000000	-677.376085	-661.048454	-263.502088
158.500000	-687.235232	-572.168397	-266.321693
159.000000	-696.807878	-762.085193	-269.055021
159.500000	-706.087999	-698.653902	-271.700260
160.000000	-715.069657	-749.769791	-274.255619
160.500000	-723.746995	-730.132810	-276.719336
161.000000	-732.114251	-782.970025	-279.089675
161.500000	-740.165753	-738.345306	-281.364929
162.000000	-747.895934	-778.036905	-283.543421
162.500000	-755.299327	-735.373130	-285.623504
163.000000	-762.370575	-784.928292	-287.603565
163.500000	-769.104436	-812.131968	-289.482027
164.000000	-775.495784	-759.537312	-291.257344
164.500000	-781.539615	-791.590613	-292.928011
165.000000	-787.231056	-766.023607	-294.492559
165.500000	-792.565361	-789.764623	-295.949560
166.000000	-797.537923	-860.735940	-297.297626
166.500000	-802.144277	-890.893520	-298.535413
167.000000	-806.380101	-709.689171	-299.661619
167.500000	-810.241225	-818.388603	-300.674989
168.000000	-813.723632	-893.161662	-301.574312
168.500000	-816.823467	-748.369061	-302.358428
169.000000	-819.537035	-739.460217	-303.026224
169.500000	-821.860812	-866.862281	-303.576639
170.000000	-823.791445	-796.673338	-304.008664
170.500000	-825.325759	-833.191306	-304.321341
171.000000	-826.460759	-864.561334	-304.513770
171.500000	-827.193636	-842.810639	-304.585104
172.000000	-827.521772	-763.308705	-304.534555
172.500000	-827.442741	-828.215334	-304.361392
173.000000	-826.954316	-916.082742	-304.064944
173.500000	-826.054472	-861.035507	-303.644603
174.000000	-824.741390	-804.056670	-303.099820
174.500000	-823.013460	-798.142565	-302.430110
175.000000	-820.869287	-861.382158	-301.635053
175.500000	-818.307694	-816.430844	-300.714296
176.000000	-815.327724	-734.874613	-299.667548
176.500000	-811.928644	-842.747150	-298.494591
177.000000	-808.109952	-755.243177	-297.195272
177.500000	-803.871374	-844.467482	-295.769509
178.000000	-799.212874	-772.577739	-294.217292
178.500000	-794.134652	-799.219014	-292.538680
179.000000	-788.637150	-815.240968	-290.733807
179.500000	-782.721054	-707.921899	-288.802879
180.000000	-776.387296	-687.842409	-286.746177
180.500000	-769.637058	-720.147979	-284.564056
181.000000	-762.471774	-712.709534	-282.256950
181.500000	-754.893132	-655.082525	-279.825365
182.000000	-746.903078	-818.098985	-277.269889
182.500000	-738.503814	-775.758591	-274.591183
183.000000	-729.697806	-646.552162	-271.789992
183.500000	-720.487781	-802.394485	-268.867135
184.000000	-710.876731	-785.765192	-265.823514
184.500000	-700.867912	-742.966342	-262.660109
185.000000	-690.464849	-650.573035	-259.377983
185.500000	-679.671335	-607.702119	-255.978276
186.000000	-668.491431	-719.029410	-252.462213
186.500000	-656.929470	-699.147942	-248.831098
187.000000	-644.990054	-602.235598	-245.086317
187.500000	-632.678058	-554.770082	-241.229337
188.000000	-619.998627	-587.407447	-237.261708
188.500000	-606.957178	-571.630043	-233.185062
189.000000	-593.559399	-607.803272	-229.001111
189.500000	-579.811250	-633.652388	-224.711650
190.000000	-565.718960	-586.133753	-220.318556
190.500000	-551.289030	-644.661565	-215.823784
191.000000	-536.528228	-555.753682	-211.229375
191.500000	-521.443590	-490.130672	-206.537446
192.000000	-506.042418	-518.384974	-201.750196
192.500000	-490.332281	-519.100112	-196.869905
193.000000	-474.321008	-498.709458	-191.898931
193.500000	-458.016689	-394.177751	-186.839709
194.000000	-441.427674	-483.397737	-181.694754
194.500000	-424.562568	-428.457044	-176.466658
195.000000	-407.430231	-355.492087	-171.158088
195.500000	-390.039770	-411.156810	-165.771787
196.000000	-372.400542	-382.724659	-160.310572
196.500000	-354.522147	-399.398902	-154.777335
197.000000	-336.414423	-348.017644	-149.175039
197.500000	-318.087447	-303.970492	-143.506717
198.000000	-299.551526	-267.300906	-137.775473
198.500000	-280.817195	-322.582140	-131.984481
199.000000	-261.895211	-228.921005	-126.136980
199.500000	-242.796549	-210.258436	-120.236273
200.000000	-223.532399	-199.105988	-114.285732
200.500000	-204.114155	-190.541235	-108.288788
201.000000	-184.553414	-171.384712	-102.248932
201.500000	-164.861971	-264.133163	-96.169716
202.000000	-145.051807	-123.771792	-90.054750
202.500000	-125.135090	-103.161844	-83.907695
203.000000	-105.124161	-115.632203	-77.732270
203.500000	-85.031534	-113.500474	-71.532243
204.000000	-64.869885	-168.714072	-65.311430
204.500000	-44.652044	-56.588313	-59.073696
205.000000	-24.390991	-20.786224	-52.822950
205.500000	-4.099846	23.041410	-46.563141
206.000000	16.208140	16.287586	-40.298260
206.500000	36.519592	45.129195	-34.032337
207.000000	56.821017	13.093027	-27.769432
207.500000	77.098819	126.000339	-21.513641
208.000000	97.339301	110.022535	-15.269089
208.500000	117.528679	37.184245	-9.039926
209.000000	137.653089	91.490880	-2.830328
209.500000	157.698596	191.653788	3.355510
210.000000	177.651207	234.829443	9.513373
210.500000	197.496876	238.919090	15.639032
211.000000	217.221520	191.021632	21.728245
211.500000	236.811022	215.638666	27.776762
212.000000	256.251249	226.594650	33.780327
212.500000	275.528057	211.051219	39.734680
213.000000	294.627306	316.823606	45.635563
213.500000	313.534867	346.106616	51.478721
214.000000	332.236636	401.409643	57.259908
214.500000	350.718545	404.950460	62.974886
215.000000	368.966570	377.396977	68.619432
215.500000	386.966749	394.781222	74.189343
216.000000	404.705186	405.953384	79.680433
216.500000	422.168069	496.053368	85.088543
217.000000	439.341678	516.714979	90.409542
217.500000	456.212401	440.962745	95.639330
218.000000	472.766740	529.193268	100.773843
218.500000	488.991329	447.663781	105.809055
219.000000	504.872942	502.771503	110.740984
219.500000	520.398507	557.449697	115.565693
220.000000	535.555120	421.947518	120.279296
220.500000	550.330054	532.486208	124.877961
221.000000	564.710772	561.947787	129.357913
221.500000	578.684941	601.409548	133.715437
222.000000	592.240444	595.695960	137.946885
222.500000	605.365392	618.389554	142.048675
223.000000	618.048133	585.913917	146.017301
223.500000	630.277271	595.725228	149.849329
224.000000	642.041674	677.678824	153.541407
224.500000	653.330484	582.468090	157.090266
225.000000	664.133134	636.010965	160.492724
225.500000	674.439358	753.850785	163.745688
226.000000	684.239201	689.870910	166.846162
226.500000	693.523035	783.760585	169.791246
227.000000	702.281567	698.623214	172.578140
227.500000	710.505850	712.907399	175.204152
228.000000	718.187298	710.412937	177.666696
228.500000	725.317697	708.056722	179.963297
229.000000	731.889210	762.327407	182.091596
229.500000	737.894395	711.364624	184.049353
230.000000	743.326214	723.567613	185.834446
230.500000	748.178041	826.264739	187.444882
231.000000	752.443672	748.326961	188.878791
231.500000	756.117339	729.537853	190.134437
232.000000	759.193716	852.530887	191.210217
232.500000	761.667931	797.777597	192.104662
233.000000	763.535573	611.000436	192.816444
233.500000	764.792700	817.159170	193.344377
234.000000	765.435853	810.947960	193.687419
234.500000	765.462057	732.638873	193.844673
235.000000	764.868833	825.836644	193.815394
235.500000	763.654207	796.823784	193.598987
236.000000	761.816712	756.130445	193.195011
236.500000	759.355400	708.583782	192.603178
237.000000	756.269845	710.306914	191.823363
237.500000	752.560151	639.417003	190.855594
238.000000	748.226954	737.878932	189.700066
238.500000	743.271434	760.266830	188.357131
239.000000	737.695311	743.553338	186.827309
239.500000	731.500857	642.842544	185.111284
240.000000	724.690894	769.651333	183.209906
240.500000	717.268801	708.918642	181.124192
241.000000	709.238515	749.976401	178.855327
241.500000	700.604535	802.951846	176.404667
242.000000	691.371919	696.181745	173.773734
242.500000	681.546293	651.884195	170.964223
243.000000	671.133843	692.901945	167.977997
243.500000	660.141324	752.842131	164.817090
244.000000	648.576052	647.680713	161.483705
244.500000	636.445908	636.564115	157.980215
245.000000	623.759333	642.328848	154.309162
245.500000	610.525330	703.479739	150.473258
246.000000	596.753458	551.418785	146.475381
246.500000	582.453829	547.203946	142.318575
247.000000	567.637106	465.388355	138.006053
247.500000	552.314498	663.004220	133.541189
248.000000	536.497752	469.209151	128.927522
248.500000	520.199154	530.802391	124.168750
249.000000	503.431515	486.085836	119.268732
249.500000	486.208169	572.596051	114.231483
250.000000	468.542965	468.682779	109.061173
250.500000	450.450258	472.104778	103.762126
251.000000	431.944899	396.683561	98.338813
251.500000	413.042229	348.084966	92.795855
252.000000	393.758066	424.007737	87.138015
252.500000	374.108697	353.746347	81.370196
253.000000	354.110863	416.593741	75.497442
253.500000	333.781752	377.594301	69.524928
254.000000	313.138983	261.439109	63.457959
254.500000	292.200595	304.225910	57.301967
255.000000	270.985031	241.110614	51.062508
255.500000	249.511128	108.603186	44.745252
256.000000	227.798096	154.567532	38.355986
256.500000	205.865509	178.414075	31.900603
257.000000	183.733284	208.689728	25.385101
257.500000	161.421669	164.942503	18.815578
258.000000	138.951222	82.706662	12.198225
258.500000	116.342794	58.426786	5.539320
259.000000	93.617515	-9.296705	-1.154773
259.500000	70.796767	127.036560	-7.877615
260.000000	47.902174	136.203201	-14.622695
260.500000	24.955575	-33.054233	-21.383436
261.000000	1.979011	29.864064	-28.153201
261.500000	-21.005305	34.992846	-34.925300
262.000000	-43.975001	-62.374791	-41.692996
262.500000	-66.907569	-139.874772	-48.449512
263.000000	-89.780393	-150.678463	-55.188036
263.500000	-112.570763	-128.476251	-61.901731
264.000000	-135.255902	-99.063813	-68.583736
264.500000	-157.812991	-150.083234	-75.227181
265.000000	-180.219189	-140.748963	-81.825186
265.500000	-202.451655	-179.724334	-88.370874
266.000000	-224.487579	-158.190868	-94.857376
266.500000	-246.304202	-201.279122	-101.277837
267.000000	-267.878837	-171.710664	-107.625427
267.500000	-289.188901	-262.579352	-113.893345
268.000000	-310.211937	-268.532404	-120.074827
268.500000	-330.925636	-454.721041	-126.163155
269.000000	-351.307867	-313.161440	-132.151667
269.500000	-371.336701	-358.431647	-138.033756
270.000000	-390.990434	-209.553121	-143.802888
270.500000	-410.247616	-343.204110	-149.452604
271.000000	-429.087076	-344.100955	-154.976527
271.500000	-447.487943	-505.804837	-160.368373
272.000000	-465.429680	-523.523244	-165.621957
272.500000	-482.892103	-702.144800	-170.731202
273.000000	-499.855406	-346.657379	-175.690142
273.500000	-516.300191	-464.610814	-180.492936
274.000000	-532.207492	-504.844470	-185.133874
274.500000	-547.558795	-424.397372	-189.607379
275.000000	-562.336069	-570.929233	-193.908021
275.500000	-576.521786	-653.388588	-198.030523
276.000000	-590.098948	-619.245649	-201.969766
276.500000	-603.051111	-657.813072	-205.720797
277.000000	-615.362406	-620.885939	-209.278839
277.500000	-627.017562	-596.407046	-212.639291
278.000000	-638.001933	-748.895941	-215.797745
278.500000	-648.301517	-618.237880	-218.749983
279.000000	-657.902977	-617.539986	-221.491988
279.500000	-666.793664	-626.665549	-224.019953
280.000000	-674.961637	-554.050055	-226.330280
280.500000	-682.395683	-631.725020	-228.419594
281.000000	-689.085338	-883.019462	-230.284743
281.500000	-695.020903	-672.755440	-231.922807
282.000000	-700.193464	-712.616572	-233.331101
282.500000	-704.594910	-680.995538	-234.507182
283.000000	-708.217947	-855.631239	-235.448854
283.500000	-711.056117	-715.624004	-236.154173
284.000000	-713.103811	-696.321024	-236.621449
284.500000	-714.356284	-751.918944	-236.849253
285.000000	-714.809667	-635.457934	-236.836421
285.500000	-714.460982	-725.322476	-236.582055
286.000000	-713.308152	-773.127966	-236.085529
286.500000	-711.350009	-651.442487	-235.346494
287.000000	-708.586309	-558.751113	-234.364873
287.500000	-705.017736	-684.583606	-233.140875
288.000000	-700.645912	-696.272898	-231.674987
288.500000	-695.473400	-720.300860	-229.967981
289.000000	-689.503715	-623.199892	-228.020915
289.500000	-682.741322	-794.931718	-225.835134
290.000000	-675.191644	-700.296820	-223.412272
