X	NoNoise	Noisy
The data file columns (and lags) used for ALN inputs and output are:
__A	__B	__C	ALNfitDeep
1.000000	10.089728	32.331516	-41.706531
7.000000	74.306178	76.802043	24.562866
14.000000	156.698377	142.738691	109.476035
33.000000	410.920829	424.359992	371.056278
37.000000	467.507030	445.155281	429.243121
44.500000	572.935997	600.442185	537.662006
48.000000	620.834485	616.040021	586.933864
49.500000	640.928208	615.120109	607.608862
53.000000	686.487336	686.279563	654.501960
57.000000	735.678173	735.956067	705.168883
60.500000	775.524097	739.586633	746.252551
62.000000	791.522072	788.182932	762.762817
82.500000	915.552240	925.717503	892.200841
86.500000	912.677886	914.742928	889.925658
91.500000	893.588711	860.267572	871.324451
94.500000	873.360540	867.585513	851.241272
102.000000	792.502341	805.995678	770.235428
106.500000	722.798835	712.939545	700.086464
116.500000	512.889766	477.621731	488.260936
121.500000	382.408026	392.214965	356.391021
125.000000	282.786444	258.289414	255.658187
127.000000	223.328177	177.352041	195.522279
148.500000	-444.074946	-342.936947	-479.640896
154.500000	-600.860926	-574.959646	-638.096187
163.000000	-762.370575	-784.928292	-800.949966
165.500000	-792.565361	-789.764623	-831.248571
167.500000	-810.241225	-818.388603	-848.898352
178.500000	-794.134652	-799.219014	-830.739649
185.000000	-690.464849	-650.573035	-724.271453
197.000000	-336.414423	-348.017644	-362.315143
198.000000	-299.551526	-267.300906	-324.669483
202.000000	-145.051807	-123.771792	-166.920002
209.500000	157.698596	191.653788	142.143728
211.000000	217.221520	191.021632	202.912016
214.500000	350.718545	404.950460	339.224115
216.000000	404.705186	405.953384	394.362875
223.500000	630.277271	595.725228	624.948403
224.500000	653.330484	582.468090	648.551787
229.000000	731.889210	762.327407	729.162178
233.000000	763.535573	611.000436	761.989132
235.500000	763.654207	796.823784	762.514504
250.500000	450.450258	472.104778	446.463819
253.000000	354.110863	416.593741	348.906556
259.500000	70.796767	127.036560	61.873034
268.500000	-330.925636	-454.721041	-345.158362
272.000000	-465.429680	-523.523244	-481.361170
274.000000	-532.207492	-504.844470	-548.939903
274.500000	-547.558795	-424.397372	-564.468814
279.500000	-666.793664	-626.665549	-684.902431
283.000000	-708.217947	-855.631239	-726.457772
289.500000	-682.741322	-794.931718	-699.499731
291.500000	-647.887487	-556.961935	-663.735075
293.500000	-600.956434	-556.724008	-615.689789
294.000000	-587.418458	-552.653689	-601.842850
295.000000	-558.270742	-492.104231	-572.042315
298.000000	-455.438474	-603.654594	-466.992396
301.000000	-332.828409	-446.629742	-341.831569
310.000000	98.763884	127.725096	98.486927
319.500000	505.207204	419.688182	513.313824
324.500000	631.687156	682.951730	642.733508
330.000000	669.065121	790.774815	681.631443
344.000000	276.066371	247.541813	284.280108
347.000000	127.851056	38.984602	134.054148
351.500000	-104.765591	-72.912429	-101.751840
353.000000	-180.627399	-35.028067	-178.648516
354.500000	-253.782342	-342.395004	-252.792735
356.000000	-323.135940	-71.332239	-323.071586
365.000000	-605.452147	-523.763665	-608.685673
366.500000	-623.090199	-484.149297	-626.377952
373.500000	-575.455294	-336.801188	-576.807481
380.000000	-354.952118	-403.894990	-351.538132
384.000000	-160.715320	-257.060251	-153.382296
390.500000	182.720003	86.585456	196.889697
395.000000	391.112322	351.554417	409.520418
396.500000	448.047891	504.675918	467.657775
399.500000	536.651701	459.583628	558.239592
400.000000	547.767150	319.703205	569.623203
403.000000	590.345112	699.169037	613.403976
417.000000	244.226643	67.578355	263.722509
417.500000	219.045825	75.463962	238.198527
420.500000	60.230640	165.152466	77.194168
421.000000	33.013211	-3.573101	49.599274
425.000000	-181.613229	-200.187156	-167.994453
437.000000	-560.458974	-593.357929	-551.278200
441.500000	-525.537714	-595.773683	-515.040244
451.500000	-126.389082	-62.052576	-107.549948
456.000000	119.172783	214.753450	142.876350
462.000000	397.608803	324.346645	426.973335
465.000000	486.065013	512.679677	517.405066
473.000000	485.529886	445.663381	518.156093
476.500000	377.031355	603.439810	408.396799
492.000000	-382.342341	-460.216907	-361.257350
499.000000	-500.493504	-476.478362	-480.265216
500.000000	-494.015812	-432.462304	-473.516527
502.000000	-463.343568	-274.445340	-442.003891
503.500000	-425.572639	-49.258736	-403.353958
505.500000	-357.443734	-437.669646	-333.753792
520.500000	369.904666	728.007298	408.273491
530.000000	432.296540	189.719027	473.254218
532.500000	359.393568	176.635211	399.528108
533.000000	341.004855	315.162190	380.910629
549.000000	-396.174948	242.602635	-366.094874
549.500000	-407.918054	-386.965134	-377.954817
550.000000	-418.179657	-567.313889	-388.308304
570.000000	202.706022	251.472061	246.272627
572.500000	307.120060	-123.064722	352.850010
573.500000	340.897272	36.154161	387.358015
603.500000	-396.103516	162.882892	-357.198919
609.500000	-262.810773	319.074935	-220.689803
610.500000	-221.940201	-133.868024	-178.968968
612.000000	-153.911794	-954.163689	-109.551941
613.000000	-105.236578	-53.569742	-59.895012
614.500000	-29.374414	-475.900189	17.487713
617.000000	97.203907	193.535930	146.602684
621.500000	286.578480	750.561276	339.895350
623.500000	340.177594	-32.002303	394.721004
628.000000	366.928882	502.471831	422.651385
630.000000	335.244037	577.355553	390.756677
633.000000	243.367907	-78.346449	297.818799
634.500000	181.566806	420.626203	235.219650
637.000000	63.912395	-213.585634	115.988371
638.000000	14.291594	518.628745	65.693722
644.500000	-269.212347	2.445326	-221.532843
645.500000	-297.943766	85.925836	-250.586279
655.500000	-232.916667	-596.589579	-182.844995
659.500000	-59.772442	-282.538020	-6.136987
661.000000	12.410573	423.763026	67.504623
662.000000	60.152001	-769.236153	116.212037
663.000000	106.462285	23.630766	163.464203
664.500000	171.208232	68.015118	229.543485
667.500000	273.358250	413.968665	333.899663
670.000000	320.042697	371.433420	381.775137
674.500000	299.328397	118.831898	361.440485
676.000000	263.447664	422.113097	325.198271
679.000000	157.537682	-387.538563	217.990175
680.000000	114.843819	-275.427634	174.739132
691.000000	-293.335953	-494.746689	-238.534600
693.000000	-306.919004	102.570484	-252.022633
699.000000	-193.579599	262.785603	-135.802922
701.500000	-94.873056	-523.229209	-35.029164
702.000000	-73.226111	-183.391789	-12.936679
715.000000	281.669160	513.168536	350.040600
717.000000	253.653687	380.684941	321.877065
720.000000	169.510236	300.368530	236.802106
727.000000	-114.460338	39.785267	-50.818004
