X	NoNoise	Noisy
0	0	27.03394537
0.5	5.022466363	17.63285104
1	10.08972846	32.33151644
1.5	15.2015752	7.803099087
2	20.35778792	-0.751058596
2.5	25.5581402	32.2783973
3	30.80239771	29.24756101
3.5	36.09031803	34.70719442
4	41.42165048	56.45822462
4.5	46.79613594	56.76668093
5	52.21350671	35.72598045
5.5	57.6734863	35.90895328
6	63.1757893	72.67039212
6.5	68.72012118	59.42563789
7	74.3061781	76.8020434
7.5	79.93364679	80.87367213
8	85.60220433	110.6861081
8.5	91.31151801	58.31951373
9	97.0612451	103.3240281
9.5	102.8510328	94.23907492
10	108.6805178	123.3687973
10.5	114.5493266	103.6978644
11	120.4570747	120.2535481
11.5	126.4033669	126.7959567
12	132.3877971	128.0901954
12.5	138.4099477	131.6465286
13	144.46939	140.2675905
13.5	150.5656837	133.0607522
14	156.6983767	142.738691
14.5	162.8670052	139.375098
15	169.071093	161.7186971
15.5	175.3101521	133.7433518
16	181.5836819	183.6022639
16.5	187.8911693	179.4175254
17	194.2320882	200.4585009
17.5	200.6059001	168.5134569
18	207.0120531	162.3027433
18.5	213.4499822	208.7538015
19	219.9191089	255.3843497
19.5	226.4188414	236.9702218
20	232.9485739	219.3135182
20.5	239.507687	242.2024799
21	246.095547	236.0039106
21.5	252.7115064	259.2536477
22	259.3549031	265.2041031
22.5	266.0250606	281.4385129
23	272.7212879	288.7758806
23.5	279.4428789	290.5610564
24	286.189113	310.950064
24.5	292.9592543	269.689913
25	299.7525517	252.538489
25.5	306.568239	338.571399
26	313.4055342	302.9628944
26.5	320.26364	329.3786843
27	327.1417433	313.5498814
27.5	334.0390151	321.702964
28	340.9546103	357.6151501
28.5	347.8876681	350.8610495
29	354.8373112	355.5613974
29.5	361.802646	385.5375919
30	368.7827627	387.5611115
30.5	375.7767346	427.9918205
31	382.7836189	393.7084981
31.5	389.8024555	385.3401889
32	396.832268	426.8535915
32.5	403.8720628	413.3042994
33	410.9208294	424.3599925
33.5	417.9775403	431.5060778
34	425.0411508	452.1084997
34.5	432.110599	427.2617115
35	439.1848059	445.5525356
35.5	446.262675	446.7051812
36	453.3430924	491.3148074
36.5	460.4249269	437.3683633
37	467.5070298	445.1552811
37.5	474.588235	513.0653105
38	481.6673588	474.3237001
38.5	488.7431997	493.3005215
39	495.8145391	454.6802837
39.5	502.8801406	481.1148688
40	509.93875	536.6204718
40.5	516.9890959	525.6029041
41	524.0298891	564.8513514
41.5	531.0598229	527.8313353
42	538.077573	512.8336098
42.5	545.0817977	548.4877217
43	552.0711378	519.6918939
43.5	559.0442167	545.1172638
44	565.9996404	542.0686887
44.5	572.9359975	600.4421852
45	579.8518595	590.3788015
45.5	586.7457806	616.5252107
46	593.6162982	560.2616501
46.5	600.4619324	577.0631594
47	607.2811866	583.194859
47.5	614.0725473	604.4804486
48	620.8344846	616.0400208
48.5	627.5654517	631.8672281
49	634.2638858	623.6518152
49.5	640.9282077	615.1201092
50	647.556822	635.8245727
50.5	654.1481177	621.5154367
51	660.7004679	631.9202839
51.5	667.2122301	658.4039836
52	673.6817465	648.4575404
52.5	680.1073444	703.6638637
53	686.4873358	686.2795628
53.5	692.8200183	674.5792842
54	699.103675	704.0384392
54.5	705.3365749	736.4829349
55	711.5169728	734.2332873
55.5	717.6431101	757.8760445
56	723.7132149	723.8851168
56.5	729.7255019	690.552556
57	735.6781734	735.9560669
57.5	741.5694192	769.796644
58	747.3974167	712.588085
58.5	753.160332	778.2466355
59	758.8563195	754.8396267
59.5	764.4835226	759.0517518
60	770.0400742	749.0200223
